Stress
10
8
6
14
11
8
9
15
6
9
4
4
9
6
10
12
7
8
13
9
9
12
18
18
5
6
11
5
8
8
14
13
5
9
9
8
10
6
7
13
16
8
10
10
8
11
13
10
13
19
12
17
10
5
6
5
8
10
7
11
6
6
4
3
